timestamp,temperature,humidity,pir_sensor,door_opening,gases,electric_consumption
2024-11-01 00:00:00,20.62,75.57,0,0,235.11,0.96
2024-11-01 00:04:00,29.26,81.18,0,0,236.36,1.12
2024-11-01 00:08:00,25.98,88.37,1,0,274.32,1.64
2024-11-01 00:12:00,23.98,46.0,0,0,330.55,0.57
2024-11-01 00:16:00,17.34,72.97,1,1,309.69,1.28
2024-11-01 00:20:00,17.34,53.66,0,0,261.28,0.41
2024-11-01 00:24:00,15.87,70.62,1,1,243.42,0.92
2024-11-01 00:28:00,27.99,58.56,0,0,351.69,0.75
2024-11-01 00:32:00,24.02,89.63,1,0,368.16,1.26
2024-11-01 00:36:00,25.62,73.73,0,0,325.39,1.1
2024-11-01 00:40:00,15.31,87.15,0,0,317.78,1.45
2024-11-01 00:44:00,29.55,80.1,1,0,193.11,0.98
2024-11-01 00:48:00,27.49,84.17,0,0,329.68,1.36
2024-11-01 00:52:00,18.19,78.87,0,0,379.42,1.06
2024-11-01 00:56:00,17.73,57.55,1,1,353.61,2.03
2024-11-01 01:00:00,17.75,45.11,0,0,350.9,0.4
2024-11-01 01:04:00,19.56,52.22,0,0,217.23,1.38
2024-11-01 01:08:00,22.87,31.21,0,0,264.78,1.45
2024-11-01 01:12:00,21.48,61.44,1,0,292.76,2.17
2024-11-01 01:16:00,19.37,60.3,0,0,264.42,1.22
2024-11-01 01:20:00,24.18,61.52,0,0,242.01,0.32
2024-11-01 01:24:00,17.09,88.44,0,0,320.96,0.49
2024-11-01 01:28:00,19.38,84.69,1,0,349.84,2.37
2024-11-01 01:32:00,20.5,39.7,1,0,230.18,1.32
2024-11-01 01:36:00,21.84,52.13,0,0,351.9,0.65
2024-11-01 01:40:00,26.78,55.44,0,0,311.16,0.27
2024-11-01 01:44:00,18.0,51.63,0,0,381.15,1.02
2024-11-01 01:48:00,22.71,77.91,0,0,339.74,0.93
2024-11-01 01:52:00,23.89,61.44,0,0,306.49,1.45
2024-11-01 01:56:00,15.7,64.33,1,0,306.89,1.91
2024-11-01 02:00:00,24.11,81.18,0,0,300.11,0.86
2024-11-01 02:04:00,17.56,78.36,0,0,390.93,0.99
2024-11-01 02:08:00,15.98,37.93,0,0,330.6,0.74
2024-11-01 02:12:00,29.23,72.83,0,0,281.6,0.37
2024-11-01 02:16:00,29.48,56.13,0,0,328.46,1.33
2024-11-01 02:20:00,27.13,47.68,0,0,323.3,0.91
2024-11-01 02:24:00,19.57,33.0,0,0,278.86,0.75
2024-11-01 02:28:00,16.47,59.23,0,0,258.99,0.29
